Epoch,val_Brier,val_MR,val_cls_loss,val_data_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
1,0.61189276,0.347846955,1.517090201,0.884794295,0.885371208,1.269964814,2.34907794,1.768495917,0.000500248,2.15374279,1.768035531,0.000401052,2.36806798,1.490392447,0.000411677,1.706679344,2.884860277,0.000515832,3.730496883,5.358778,0.000973475,5.565106869,2.767675161,0.000653106,3.624535799,0.000575899,-0.406134367,-0.226163551
2,0.613895595,0.308988303,1.039463997,-0.111428782,-0.11095915,1.144477963,2.071856499,1.458940029,0.000313221,1.719376445,1.928426266,0.000194369,2.727270365,1.522520185,0.000230087,1.960047364,3.019551039,0.000268607,4.005021572,3.049444437,0.001286918,3.026719809,1.79233408,0.00052572,2.078089714,0.00046982,-0.72618717,-0.424706012
3,0.650824189,0.282535613,0.958825707,-0.40910086,-0.408526599,1.059353232,1.94749403,1.93199718,0.000387086,2.194550276,1.576661348,0.000376842,2.078072071,1.601705432,0.000370999,2.073088884,2.170795679,0.000744882,2.548750162,2.231764793,0.001058088,2.498501539,2.234172821,0.000505833,2.397308588,0.000573955,-0.850668609,-0.517257333
4,0.620281458,0.266688019,0.849620759,-0.620985985,-0.62048614,1.023190856,1.88553524,1.895825148,0.000389429,2.567622662,1.399980426,0.000356177,1.787759423,1.457595587,0.000370771,1.942982793,1.818629503,0.000536478,1.761082292,2.944457293,0.000897827,3.065763712,2.516944647,0.000447721,3.163059235,0.000499734,-0.907803535,-0.562802911
5,0.62110734,0.268328786,0.832613349,-0.710810304,-0.709632337,0.99500531,1.78224206,1.744421363,0.000495629,2.036171198,1.382390738,0.001012411,1.233429313,1.348138213,0.000571462,1.39681077,2.18386507,0.002161226,2.014697313,3.352785826,0.002194174,3.13786149,2.486109972,0.00063518,2.809811592,0.001178347,-0.948154807,-0.595270634
6,0.622757435,0.261605561,0.726339638,-0.911493123,-0.910897911,0.975232303,1.752237916,1.705600381,0.000470504,2.030645132,1.396312833,0.000418745,1.836206555,1.376336455,0.000437568,1.84984839,2.166558743,0.000621126,2.378315926,2.969814062,0.001057882,2.813827515,2.267046213,0.000564712,2.565867424,0.00059509,-0.99802655,-0.639806926
7,0.627788424,0.255642712,0.679840446,-1.06818378,-1.067639351,0.954289913,1.717162728,1.460211158,0.000400324,1.657771707,1.347141147,0.000408156,1.538142204,1.254421473,0.000369086,1.419207454,2.144291401,0.000635846,2.144268036,2.809705734,0.00097908,2.94644928,2.031135321,0.000467625,2.431586266,0.000543353,-1.052793264,-0.695230901
8,0.625879586,0.253281564,0.681605697,-1.030793548,-1.029974818,0.963085592,1.721579671,1.840973854,0.000507262,1.748337746,1.450688243,0.0006128,1.53720367,1.552596331,0.000517589,1.636643887,2.16231823,0.001382886,2.141801596,2.508879185,0.001307955,2.313374758,2.219055176,0.000593543,2.195972919,0.000820339,-1.037816167,-0.674583316
9,0.628026903,0.23831439,0.621431589,-1.217415571,-1.216777444,0.928628802,1.649134517,1.548879981,0.000467042,1.48092258,1.517034411,0.000383674,1.655904055,1.492804885,0.00044531,1.692281961,2.284902811,0.000612969,1.943321586,2.503590584,0.001356139,2.301287889,1.97953248,0.000567786,1.933422923,0.00063882,-1.098690033,-0.740158498
10,0.638548851,0.239595011,0.588922918,-1.280751348,-1.280340672,0.951123893,1.722161651,1.337002039,0.000325536,1.305244803,1.340061069,0.000278109,1.440454721,1.305516601,0.000305666,1.390358448,2.078874826,0.000545104,1.974980593,2.304784536,0.000674229,2.537187576,1.707277417,0.000335591,1.899455905,0.000410706,-1.116276145,-0.753399074
11,0.62921977,0.235993281,0.580782294,-1.29843533,-1.297765613,0.931845903,1.677121282,1.580161095,0.000630337,1.717391253,1.312561154,0.000415763,1.180404305,1.511186004,0.000389931,1.578587055,1.958294988,0.000949408,1.661113381,2.444732428,0.001070356,2.588296413,2.019405127,0.000560269,2.361492157,0.000669344,-1.120036244,-0.759178936
12,0.635613978,0.228229553,0.540670633,-1.432160378,-1.431574702,0.903039813,1.607793927,1.340461373,0.000523411,1.164815068,1.417982459,0.000366029,1.302408695,1.342376709,0.000381558,1.312209249,2.227635145,0.000719087,2.056064367,2.194760561,0.001008422,2.221024752,1.708120942,0.000514897,1.666636586,0.000585567,-1.16662097,-0.806210637
13,0.633491457,0.23023051,0.515191853,-1.457551241,-1.457105637,0.904092491,1.608951569,1.426020145,0.000450205,1.30123055,1.491877079,0.000317213,1.654506683,1.614759088,0.000343857,1.912556648,2.157545805,0.00057316,1.945533276,2.190505743,0.000553515,2.011116505,1.767926455,0.000427537,1.626622677,0.000444247,-1.165326118,-0.807416856
14,0.636083663,0.220145673,0.526834369,-1.458629847,-1.45788312,0.905054748,1.592788935,1.43400383,0.000797726,1.408389568,1.307183504,0.000443396,1.096752882,1.558502913,0.000406627,1.56329596,1.915195107,0.001332393,1.501625299,2.219049454,0.000929521,2.124565601,1.811655879,0.000567646,1.798923016,0.000746217,-1.172060609,-0.813401461
15,0.622661531,0.222226664,0.521899939,-1.446268082,-1.445685625,0.898760557,1.575237036,1.507515073,0.000604988,1.345900774,1.47714901,0.000337127,1.308436513,1.709256172,0.000355689,1.797341347,2.172444582,0.000739821,1.65102458,2.310169935,0.000901674,2.352396727,1.94527185,0.000552142,1.924309969,0.000581906,-1.165617466,-0.802550912
16,0.628762841,0.21950537,0.531005025,-1.444964051,-1.444362044,0.885705352,1.567304373,1.494654655,0.000747868,1.32270503,1.436619997,0.000405707,1.260014892,1.768297434,0.000471757,1.792839646,1.942619801,0.000682974,1.408312917,2.228072643,0.000710661,2.02640152,1.926897407,0.000601287,1.841174126,0.000603376,-1.171047211,-0.804924488
17,0.631022334,0.218704984,0.4991813,-1.531853437,-1.531143069,0.888172269,1.562071562,1.326693416,0.000696519,1.145719051,1.449604511,0.000497844,1.439370394,1.603814483,0.000499492,1.622162819,2.143935919,0.001129339,2.001830816,2.120791197,0.000797517,2.174261093,1.683320284,0.000644119,1.604681373,0.000710805,-1.196999073,-0.834037364
18,0.624287605,0.222466782,0.512609422,-1.519553423,-1.51897788,0.896011651,1.595734596,1.264751434,0.000460877,1.07781446,1.401332021,0.000438616,1.278600097,1.430455089,0.000364869,1.424440622,2.128545523,0.001064926,1.87432754,2.18859458,0.000615192,2.1620965,1.652453065,0.00051004,1.654654384,0.000575754,-1.199680805,-0.832481444
19,0.633861423,0.211021289,0.494519711,-1.524795294,-1.52408874,0.888187528,1.569008946,1.355836272,0.000745532,1.293382049,1.316550374,0.000480932,1.176433682,1.573521018,0.000499468,1.610808015,1.833569765,0.001029806,1.462296009,2.172763824,0.000740894,2.139204741,1.703358293,0.000735152,1.778563499,0.000705297,-1.196149707,-0.823164523
