steps,grad_similarity
1,-0.604653001
2,0.797008753
3,0.517140448
4,-0.583187282
5,-0.433033705
6,0.031451542
7,-0.039677009
8,-0.020155681
9,0.646177471
10,-0.367223948
11,-0.335806191
12,-0.106845461
13,-0.109621324
14,0.186062768
15,-0.051403493
16,-0.246395037
17,0.318647653
18,0.059173506
19,0.17739825
20,0.119790696
21,0.176719606
22,0.225772038
23,0.372298598
24,0.128236845
25,0.298751324
26,-0.07793121
27,0.081778832
28,-0.123159364
29,0.009267924
30,0.157264426
31,0.200126186
32,0.228907734
33,-0.529034913
34,0.090813436
35,0.416240662
36,0.383740872
37,0.022415873
38,-0.511530936
39,0.401576668
40,0.304606706
41,-0.058642156
42,0.291258305
43,0.165706456
44,-0.141857773
45,0.022920178
46,0.345527142
47,-0.020147888
48,0.319883853
49,0.319801301
50,0.459409446
51,0.212414563
52,0.12656337
53,-0.152165636
54,0.345057964
55,0.224028647
56,0.052614175
57,-0.391207069
58,0.118287504
59,0.078055881
60,0.236883685
61,-0.115493029
62,0.208300322
63,0.346478373
64,-0.219876975
65,0.110800788
66,-0.008153222
67,-0.131462872
68,-0.293903321
69,0.086187422
70,0.513207614
71,0.049576834
72,0.101110496
73,0.447406471
74,0.153324887
75,0.243828461
76,0.375743687
77,-0.125781581
78,0.473571777
79,0.373176605
80,-0.051201746
81,-0.289725661
82,0.191659331
83,0.029378114
84,-0.162477836
85,-0.136882216
86,-0.10060855
87,-0.129848808
88,-0.146060973
89,-0.254747659
90,0.092072882
91,0.048565794
92,0.078257635
93,0.198359534
94,-0.186805397
95,-0.286209494
96,-0.344440043
97,0.329525739
98,-0.065439992
99,-0.083752058
100,0.063771755
101,0.036977872
102,0.167047888
103,0.142211065
104,-0.099593386
105,-0.361399442
106,0.243090466
107,-0.236363456
108,0.028687155
109,0.214480519
110,0.124431573
111,0.017081961
112,0.131282851
113,-0.028647481
114,0.220919326
115,-0.233921602
116,-0.145967349
117,-0.342481345
118,-0.022371281
119,-0.002948478
120,-0.434063345
121,-0.004660687
122,-0.097800694
123,0.122727819
124,0.077978432
125,0.36812374
126,0.350088745
127,-0.148848101
128,-0.305808038
129,0.110335223
130,0.223505631
131,0.231582478
132,0.148647293
133,-0.086939991
134,0.212131262
135,0.332671404
136,0.311004519
137,-0.27033186
138,0.383511513
139,-0.063267551
140,-0.047756612
141,-0.047732651
142,0.240611091
143,-0.162373036
144,0.07944081
145,-0.037408452
146,-0.022246139
147,-0.229267582
148,0.228107333
149,-0.098955624
150,0.167716831
151,-0.03927457
152,0.021359557
153,0.247155741
154,0.068507574
155,-0.044281058
156,-0.199246392
157,-0.189185932
158,-0.071120732
159,0.092542008
160,0.231776893
161,-0.010605996
162,0.003301047
163,0.240428984
164,0.141714901
165,-0.263865769
166,0.214820877
167,0.088415444
168,-0.135218859
169,-0.245155334
170,-0.261409998
171,0.141994342
172,0.018189102
173,0.217392728
174,-0.074768782
175,0.040533144
176,-0.178363636
177,0.343508214
178,-0.004369053
179,-0.02152635
180,0.026174311
181,-0.192161068
182,0.143294781
183,0.185535803
184,0.211984262
185,0.016083287
186,-0.189306915
187,0.173986867
188,0.075300373
189,-0.09356349
190,-0.210538983
191,-0.25025925
192,-0.012238807
193,-0.019204034
194,0.421907693
195,-0.120564677
196,-0.203920275
197,-0.198862493
198,0.29521364
199,-0.130462423
200,0.001669162
201,0.07278467
202,-0.227754146
203,0.092473924
204,-0.065061688
205,0.081085563
206,-0.045131586
207,0.390715927
208,0.121748708
209,-0.040546503
210,0.063401833
211,-0.238589391
212,0.004190404
213,0.217948481
214,-0.137953609
215,0.152062327
216,0.00693486
217,0.096966907
218,0.277482361
219,-0.122000195
220,-0.009826479
221,-0.092507839
222,-0.063197598
223,0.033741631
224,-0.256250769
225,0.378001362
226,-0.139744878
227,-0.097104289
228,0.118405752
229,0.067550346
230,-0.049799036
231,0.082898542
232,0.024249671
233,-0.027320934
234,-0.057768665
235,0.090473726
236,0.028962091
237,0.00905459
238,0.088851899
239,-0.039146621
240,-0.313621253
241,-0.278819799
242,-0.210982636
243,-0.08233285
244,-0.164127231
245,-0.343209922
246,-0.16725786
247,0.020585421
248,0.081844993
249,-0.147690773
250,-0.211961925
251,0.125139132
252,0.172033697
253,0.297984451
254,0.262631625
255,0.074986778
256,-0.094154187
257,-0.141424552
258,-0.127403527
259,-0.009531424
260,-0.024237484
261,0.054349799
262,0.201796293
263,0.02195096
264,-0.0065931
265,-0.01267857
266,-0.01304682
267,-0.177295119
268,0.185770646
269,0.306274682
270,-0.041213948
