steps,grad_similarity
1,-0.181750685
2,0.417403966
3,0.078048423
4,0.538257718
5,0.502457023
6,0.313794255
7,0.152464569
8,0.621839166
9,-0.062157419
10,-0.099945113
11,0.072747126
12,0.447737873
13,0.123656929
14,-0.015566254
15,0.181087822
16,0.362545103
17,0.019523423
18,0.014177684
19,0.119949192
20,0.112579331
21,0.162115753
22,0.437175393
23,0.119056381
24,0.119393274
25,0.180114061
26,0.150370508
27,0.184981912
28,0.257292509
29,0.160153449
30,0.609201372
31,0.250249892
32,0.003875747
33,0.17972219
34,0.216398731
35,0.250882328
36,0.195381656
37,0.24896057
38,0.0290021
39,0.146706417
40,0.294057608
41,-0.059360787
42,-0.114211865
43,0.113488093
44,0.254306018
45,0.029761167
46,0.015810467
47,0.196738839
48,0.039954387
49,0.018321611
50,0.384206116
51,0.357835293
52,0.288730681
53,0.318926364
54,0.287101448
55,0.09319938
56,0.480587542
57,-0.108014464
58,0.194189966
59,-0.052462336
60,-0.103386045
61,-0.026853487
62,-0.329916179
63,0.187800914
64,-0.040033519
65,0.049746472
66,0.260486543
67,0.069966637
68,0.170534402
69,0.083907425
70,0.245374709
71,0.175270438
72,0.429822087
73,0.024738375
74,0.338860899
75,0.05208021
76,-0.080819353
77,0.211284995
78,0.106006004
79,0.067094579
80,0.304788798
81,0.092761628
82,0.370089948
83,0.006999224
84,0.232216299
85,0.026998393
86,0.140516818
87,0.037065364
88,0.115688525
89,0.151961014
90,0.411637932
91,0.007150427
92,-0.012116477
93,-0.257809728
94,0.071172155
95,0.081243955
96,0.419144154
97,-0.049742948
98,-0.020573132
99,0.084863417
100,0.071345381
101,-0.378164709
102,0.325366259
103,0.217903674
104,-0.036303729
105,0.253276318
106,0.011582566
107,-0.03947033
108,0.226914614
109,0.039373502
110,-0.178963453
111,0.5529688
112,0.053263508
113,0.418679923
114,-0.05200237
115,-0.022337332
116,0.352642059
117,0.327115238
118,-0.104357108
119,0.114805654
120,-0.022691276
121,-0.133900255
122,0.18991743
123,0.03461488
124,0.13826035
125,-0.116331585
126,0.027528554
127,0.451567173
128,0.328767598
129,0.208585516
130,0.073793538
131,0.36302647
