Epoch,val_Brier,val_MR,val_cls_loss,val_data_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
1,0.627365589,0.322514802,1.417065978,0.637505829,0.63815695,1.203010678,2.162438869,1.657664299,0.000424301,1.981467843,4.860293388,0.001762241,5.256119251,1.577533007,0.00027885,1.917013884,1.372836351,0.00030914,1.585154295,2.630509138,0.000375939,3.326330662,2.554547548,0.000756891,3.311700344,0.000651227,-0.475066423,-0.30449447
2,0.637799203,0.280014396,1.013821602,-0.247210771,-0.246524781,1.063067794,1.901672006,1.926528931,0.000998681,2.220152617,1.808483481,0.000939301,2.095546722,1.592993259,0.000370083,1.962899566,1.548620582,0.000656995,1.770102978,2.650261879,0.000375945,3.328953266,2.604376793,0.000776735,2.665328026,0.00068629,-0.785862684,-0.47516942
3,0.615433633,0.294181198,0.88962239,-0.567589581,-0.567063689,1.043251872,1.887632728,1.519132733,0.00067037,1.615214825,1.740050197,0.001106759,1.851094484,1.637909174,0.000195299,1.984614134,1.31229496,0.000376614,1.349307775,2.862184525,0.000187753,3.52660656,3.064611435,0.000617882,3.343514681,0.00052578,-0.896377146,-0.560834527
4,0.639732778,0.261205375,0.821002364,-0.752861321,-0.752381623,0.993853211,1.796438575,1.737229824,0.000896606,2.0922966,1.884737372,0.000610868,2.084890366,1.380930305,0.000219728,1.457826614,1.368745804,0.000432931,1.435157776,2.177258015,0.000163947,2.510624409,3.31808424,0.000561789,3.510205746,0.000480979,-0.959123671,-0.614740252
5,0.61294198,0.263406426,0.813953996,-0.779276788,-0.778250813,0.979120553,1.734268188,1.770262361,0.00276359,2.099825382,2.071167231,0.001126308,2.336469173,1.401607633,0.000364801,1.565697312,1.411897659,0.000946638,1.602460623,2.066405773,0.00021505,2.164091349,3.66211462,0.000740799,3.526679993,0.001026197,-0.973906398,-0.619324505
6,0.622672617,0.272490799,0.740961611,-0.880937934,-0.880283892,0.993700266,1.767751336,1.490906835,0.001009742,1.718377471,2.010866165,0.001089826,2.439099789,1.401935577,0.000298261,1.755295396,1.263569593,0.000500907,1.389670849,2.266210079,0.000257002,2.855215788,3.593933582,0.000767122,3.875324726,0.00065381,-0.986668587,-0.635232329
7,0.626969993,0.251120538,0.718760252,-1.021657705,-1.020974159,0.942090929,1.6850667,1.334928989,0.001410198,1.368093729,1.639154792,0.000960809,1.764860749,1.500339746,0.000270354,1.649448633,1.294426203,0.000598236,1.29309082,2.428019285,0.000222325,2.74574542,2.828405857,0.000641604,2.864454508,0.000683921,-1.048151374,-0.692268074
8,0.63511312,0.241956145,0.688989937,-1.074033976,-1.073580265,0.940363228,1.663488507,1.24679625,0.000739346,1.221008539,1.638862729,0.000755018,1.752516866,1.482950091,0.00020859,1.605251312,1.249589443,0.000346636,1.237536788,2.400272369,0.000214355,2.56333971,2.604659081,0.000467639,2.650015354,0.000455264,-1.062696338,-0.700328171
9,0.627058625,0.252361119,0.664385319,-1.114152312,-1.113571048,0.934017718,1.682278156,1.245318651,0.000944441,1.236469269,1.580833197,0.000860003,1.59433341,1.581307769,0.000287881,1.858982205,1.274574637,0.000534251,1.337086797,2.85076046,0.000265217,3.209095955,2.533310175,0.000595442,2.385493279,0.000581205,-1.069116592,-0.70941937
10,0.625100017,0.2387546,0.605488002,-1.243097782,-1.242456079,0.924683928,1.642757535,1.176217198,0.00106415,1.09946537,1.533025384,0.001158589,1.534853339,1.557430506,0.000283862,1.824104905,1.219498277,0.000437712,1.188499093,2.633984089,0.000290654,2.999540806,2.351741552,0.000620068,2.125965834,0.000642506,-1.105967402,-0.742619276
