Epoch,val_Brier,val_MR,val_cls_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
1,0.629346609,0.372098595,1.522739768,0.922533214,1.316978216,2.407735586,2.087896585,0.001584932,3.265723228,4.118467808,0.007145228,4.48217535,3.264945984,0.002336026,4.609855175,1.692993879,0.001996708,2.58965373,2.390813112,0.004018579,3.33055687,1.749078989,0.002675829,2.564410686,0.003292882,-0.382502884,-0.217702374
2,0.630001962,0.304025918,1.059577346,-0.199243218,1.148352265,2.061887741,1.80124414,0.00099528,2.06687808,1.887681603,0.003788513,1.676256776,2.852062702,0.001807594,3.305099487,1.487025619,0.001123584,1.710159898,2.648202896,0.002817389,3.080741167,1.641894698,0.001809852,1.992276549,0.002057038,-0.775003195,-0.483818263
3,0.624814868,0.29350087,0.915699303,-0.557847619,1.028093934,1.859619617,1.433677912,0.000793205,1.697532296,2.102600098,0.004199058,2.144733667,2.433605671,0.001169824,2.925223827,1.356538773,0.001319596,1.525143981,3.397809267,0.003476974,3.760451794,1.934399486,0.002590457,2.427200794,0.002258186,-0.898485243,-0.57506144
4,0.630407393,0.263566524,0.780419707,-0.857930958,0.993994534,1.81710124,1.44531405,0.000499168,1.842695236,1.792330503,0.001974659,1.863665819,2.322689056,0.000650428,2.841609001,1.238639116,0.000849848,1.465147972,2.930281878,0.001826126,3.437099695,1.700407624,0.001577408,2.245757341,0.001229608,-0.987220109,-0.65113014
5,0.631902754,0.268648952,0.760831833,-0.912877381,0.997360051,1.828260064,1.586351633,0.000620374,2.083047628,1.575695038,0.002020831,1.4789536,2.586377621,0.000820965,3.289217949,1.246355772,0.001028874,1.323885798,2.532492399,0.002058578,2.84691453,1.533642769,0.002038692,1.81132102,0.001431386,-1.010730386,-0.66298002
6,0.636066496,0.255162477,0.736515343,-0.968409598,0.9627738,1.762189269,1.322733402,0.000500396,1.549070001,1.571489453,0.002128932,1.650432229,2.19508481,0.000794396,2.754031658,1.177317858,0.00077504,1.284255505,2.760262489,0.001800963,3.0378685,1.679474711,0.001826087,2.120871544,0.001304302,-1.028191686,-0.676732481
7,0.617165744,0.265047222,0.698895156,-1.048104644,0.974021256,1.763423324,1.59332788,0.000602689,2.000129461,1.541772127,0.002530888,1.474518538,2.775555372,0.000893637,3.325122833,1.231659889,0.000931771,1.273540139,2.427122593,0.002212377,2.421939611,1.473630905,0.001874238,1.587137938,0.001507601,-1.051625848,-0.695372045
8,0.606877804,0.255842805,0.64907068,-1.126698256,0.955295503,1.725433946,1.613295674,0.000436794,1.887597561,1.524276614,0.001662976,1.493580937,2.603001595,0.000616245,2.975020409,1.312978506,0.000727082,1.40500176,2.880679369,0.001586953,3.108214855,1.742034912,0.001429516,2.174814939,0.001076595,-1.067564845,-0.708203197
9,0.628720939,0.242756516,0.590498567,-1.262177587,0.938987672,1.670383334,1.434261441,0.000570328,1.595078111,1.495715022,0.001835185,1.382066011,2.409912586,0.000713676,2.743490696,1.186709523,0.001067925,1.10659802,3.024807215,0.001894511,2.922621012,1.707403421,0.002694442,1.92143321,0.001462679,-1.103511214,-0.749163032
10,0.630270064,0.235392988,0.611346543,-1.245821476,0.933368981,1.666864991,1.258705974,0.000685258,1.240849495,1.485680461,0.00212544,1.385971069,2.048177719,0.000878349,2.373930931,1.117660642,0.001092358,0.918741941,2.922459602,0.002284799,2.760977983,1.77509439,0.002477442,2.019896984,0.001590607,-1.107255101,-0.749913394
